frame,x,y,z,r1,r2,r3,r4,r5,r6,r7,r8,r9
0,,,,,,,,,,,,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,83.84224700927734,-166.55667114257812,-1628.675537109375,-0.0611608094836569,-0.906553252843318,-0.4176368699510412,0.5990701380268784,-0.36801580804983414,0.7111113378015319,-0.7983572665841783,-0.20670163227373586,0.5655971270326721
6,70.81320190429688,-167.548583984375,-1618.1534423828125,-0.03561165081993261,-0.9117740862850612,-0.4091452381550114,0.6133287150558777,-0.34317548659165614,0.7113778691317898,-0.7890245228215566,-0.22560718291229523,0.5714382743609261
7,72.32233428955078,-166.57235717773438,-1616.711669921875,-0.04658565654475435,-0.902404922388938,-0.42836331851888176,0.6224948422634733,-0.3616068234183693,0.6940754113298134,-0.7812361665717145,-0.23431999766449949,0.5785881011002917
8,70.92338562011719,-165.7335205078125,-1617.3255615234375,-0.045704187627299546,-0.9011776123625526,-0.4310336857020083,0.6157421473819739,-0.3651839448894029,0.6982136451921067,-0.7866210874180556,-0.2334943197843206,0.5715834737443808
9,73.1044692993164,-163.89932250976562,-1620.856201171875,-0.04855257380649789,-0.9005242146278292,-0.4320865497162531,0.6123507986082877,-0.36859944172910714,0.6994004225054364,-0.789093877191147,-0.23063085315265616,0.5693331735930386
10,71.65630340576172,-163.04696655273438,-1619.5328369140625,-0.046985162277703114,-0.8997157124416868,-0.43394012410848326,0.6073633693435334,-0.3706224907371896,0.7026725460265488,-0.7930334999893816,-0.23054415226873523,0.5638681244309539
11,66.07816314697266,-159.86717224121094,-1688.52392578125,0.05177356637608474,-0.8762284801102199,-0.4791066149286973,0.6359385879004691,-0.34097692877620595,0.6923271238811198,-0.7700010456121852,-0.3405266284537526,0.5395739106647591
12,60.640464782714844,-116.38230895996094,-1788.08349609375,0.05783732254697053,-0.8714376733570135,-0.4870844131921209,0.553161373865721,-0.3781831622165374,0.7422869999393013,-0.831063979837645,-0.3123681758278446,0.46017255909756183
13,55.060699462890625,-115.96449279785156,-1795.60546875,0.06242450306061933,-0.8720782158906294,-0.4853686916011904,0.5506572857831287,-0.3755039879347742,0.7455020514116905,-0.8323939782528418,-0.31380940141126695,0.4567755735088182
14,56.271400451660156,-124.0157470703125,-1788.298095703125,0.04359346514917273,-0.875832110235596,-0.4806430322771262,0.5197972678432631,-0.39097026314312144,0.7595742581739309,-0.8531766582244071,-0.2829494089374655,0.43821138944916993
15,87.47854614257812,-260.2970886230469,-1675.479736328125,-0.05013832924726357,-0.8832810595503494,-0.4661552507265201,0.48230050999780427,-0.43012585990633817,0.7631369226395031,-0.8745698176796125,-0.18656450487551204,0.44757269747428086
